Серия,Поколение,Год,Рестайлинг,Пробег,Коробка,Объем,Цена,Кузов_внедорожник 5 дв.,Кузов_кабриолет,Кузов_купе,Кузов_лифтбек,Кузов_минивэн,Кузов_седан,Кузов_универсал,Кузов_хэтчбек 3 дв.,Кузов_хэтчбек 5 дв.,Топливо_бензин,Топливо_дизель
17329,12906,2006,0,303000,2,3.0,11600,0,0,0,0,0,1,0,0,0,1,0
17325,39524,2021,1,177000,2,3.0,47900,0,0,0,0,0,1,0,0,0,0,1
16567,24094,2018,1,161000,2,2.0,27700,0,0,0,1,0,0,0,0,0,1,0
16346,5728,1998,0,359685,0,1.8,1900,0,0,0,0,0,1,0,0,0,1,0
25471,25572,2018,0,145255,2,2.0,21700,1,0,0,0,0,0,0,0,0,1,0
16826,24546,2018,1,170140,2,2.0,24500,0,0,0,1,0,0,0,0,0,0,1
16346,37734,2021,0,26000,2,2.0,38100,0,0,0,0,0,1,0,0,0,1,0
39425,49320,2020,0,33500,2,2.0,40000,0,0,1,0,0,0,0,0,0,1,0
16567,37560,2020,0,44500,2,2.0,37500,0,0,0,0,0,1,0,0,0,1,0
17325,38623,2019,0,71000,2,2.0,33000,0,0,0,0,0,1,0,0,0,1,0
16819,7807,2002,1,450000,0,2.0,5400,0,0,0,0,0,1,0,0,0,0,1
16819,7715,2003,1,233500,2,2.5,9000,0,0,1,0,0,0,0,0,0,1,0
78152,74710,2021,0,80000,2,3.0,89500,1,0,0,0,0,0,0,0,0,0,1
17325,39524,2019,0,190000,2,2.0,26950,0,0,0,0,0,0,1,0,0,0,1
17330,8371,1990,0,300000,0,2.0,2150,0,0,0,0,0,1,0,0,0,1,0
17329,12777,2007,1,499000,0,3.0,12700,0,0,0,0,0,1,0,0,0,0,1
17330,6980,2000,1,530000,2,2.9,7699,0,0,0,0,0,1,0,0,0,0,1
17325,7010,1998,0,445000,0,2.5,4590,0,0,0,0,0,1,0,0,0,1,0
35867,42065,2021,1,55000,2,2.0,47400,1,0,0,0,0,0,0,0,0,1,0
17330,6977,2001,1,550000,0,2.9,7000,0,0,0,0,0,0,1,0,0,0,1
17186,7029,2001,1,470000,2,2.5,5300,0,0,0,0,0,0,1,0,0,0,1
20059,16298,2006,1,231500,2,4.8,9999,0,0,0,0,0,1,0,0,0,1,0
35810,41451,2018,0,155000,2,2.0,31999,1,0,0,0,0,0,0,0,0,1,0
17325,7010,1996,0,300000,0,2.9,4200,0,0,0,0,0,1,0,0,0,0,1
21434,16298,2006,1,250000,2,4.8,9900,0,0,0,0,0,1,0,0,0,1,0
38513,20702,2013,1,246000,2,2.9,26000,1,0,0,0,0,0,0,0,0,0,1
37659,19084,2008,0,420000,2,3.0,18000,1,0,0,0,0,0,0,0,0,0,1
20586,12074,2001,1,536000,2,2.9,6200,0,0,0,0,0,1,0,0,0,0,1
35029,42065,2020,0,77395,2,2.0,35900,1,0,0,0,0,0,0,0,0,1,0
25126,25572,2020,0,144500,0,1.5,20500,1,0,0,0,0,0,0,0,0,1,0
17329,6977,1999,0,342260,0,2.5,7000,0,0,0,0,0,1,0,0,0,1,0
18073,22826,2020,0,177000,1,1.5,22950,0,0,0,0,0,0,0,0,1,1,0
40186,49797,2021,0,72000,2,3.0,59999,0,0,1,0,0,0,0,0,0,1,0
16346,19970,2012,0,217000,2,2.0,17100,0,0,0,0,0,1,0,0,0,0,1
17186,39400,2017,0,144000,2,2.0,31000,0,0,0,0,0,1,0,0,0,1,0
17329,20439,2013,1,329123,2,3.0,20500,0,0,0,0,0,0,1,0,0,0,1
17330,7029,2003,1,450000,2,2.5,5800,0,0,0,0,0,1,0,0,0,1,0
17325,8371,1995,0,500000,0,2.5,3500,0,0,0,0,0,1,0,0,0,0,1
16819,7715,1999,0,277450,0,2.5,7500,0,0,0,0,0,1,0,0,0,1,0
16567,20477,2013,0,213800,2,2.0,13900,0,0,0,0,0,1,0,0,0,1,0
35867,20551,2015,1,304000,2,2.0,18800,1,0,0,0,0,0,0,0,0,0,1
17186,20288,2011,0,306400,2,2.0,17000,0,0,0,0,0,1,0,0,0,0,1
21462,18743,2020,1,123000,0,1.5,17600,0,0,0,0,1,0,0,0,0,1,0
39000,48648,2021,0,75000,2,3.0,72000,0,0,0,1,0,0,0,0,0,1,0
17329,8371,1995,0,452232,0,1.8,3500,0,0,0,0,0,0,1,0,0,1,0
17329,20643,2011,0,222000,2,2.5,15900,0,0,0,0,0,1,0,0,0,1,0
35867,21226,2012,0,180000,2,3.0,17900,1,0,0,0,0,0,0,0,0,0,1
17186,7029,2001,1,519000,0,2.9,8800,0,0,0,0,0,0,1,0,0,0,1
37232,13460,2006,1,361000,2,3.0,13900,1,0,0,0,0,0,0,0,0,0,1
35867,20580,2015,1,266000,2,2.0,22900,1,0,0,0,0,0,0,0,0,0,1
16819,12914,2010,1,180000,2,3.0,13500,0,0,0,0,0,1,0,0,0,1,0
20059,20478,2010,0,303000,2,3.0,17300,0,0,0,0,0,1,0,0,0,0,1
37232,67301,2020,0,59855,2,3.0,75000,1,0,0,0,0,0,0,0,0,1,0
39171,50495,2021,0,31000,2,3.0,64999,0,0,1,0,0,0,0,0,0,0,1
21265,18394,2020,1,189563,0,1.5,15499,0,0,0,0,1,0,0,0,0,0,1
20586,20340,2011,0,380000,2,3.0,15700,0,0,0,0,0,1,0,0,0,0,1
17325,12695,2003,0,390000,2,3.0,12600,0,0,0,0,0,1,0,0,0,0,1
17329,20643,2012,0,275500,2,2.0,19000,0,0,0,0,0,0,1,0,0,0,1
17186,20642,2011,0,245000,2,3.0,19300,0,0,0,0,0,1,0,0,0,0,1
21265,18428,2016,0,232000,0,1.5,12000,0,0,0,0,1,0,0,0,0,0,1
20586,14714,2001,0,340000,2,4.4,6000,0,0,0,0,0,1,0,0,0,1,0
16826,36987,2022,1,22170,2,2.0,45000,0,0,0,0,0,1,0,0,0,1,0
37509,19093,2008,0,266000,2,3.0,14500,1,0,0,0,0,0,0,0,0,1,0
16346,5728,1997,0,386454,2,2.0,3343,0,0,0,0,0,1,0,0,0,1,0
37232,19346,2009,0,321297,2,3.0,16300,1,0,0,0,0,0,0,0,0,1,0
17325,20643,2016,1,269000,0,2.0,18150,0,0,0,0,0,0,1,0,0,0,1
16309,22793,2021,0,98000,1,1.5,23450,0,0,0,0,0,0,0,0,1,1,0
16826,12914,2007,0,270100,2,2.0,10500,0,0,0,0,0,0,1,0,0,0,1
22929,23555,2021,1,177000,1,1.5,21250,1,0,0,0,0,0,0,0,0,0,1
37685,67957,2021,0,90781,2,3.0,56000,1,0,0,0,0,0,0,0,0,0,1
23203,23397,2020,1,167000,0,1.5,17700,1,0,0,0,0,0,0,0,0,0,1
22929,23400,2020,1,197889,0,1.5,17500,1,0,0,0,0,0,0,0,0,0,1
16567,36987,2020,0,86000,2,2.0,26999,0,0,0,0,0,1,0,0,0,1,0
17325,39400,2021,1,105000,2,2.0,52700,0,0,0,0,0,1,0,0,0,0,1
35386,41451,2021,1,53000,2,2.0,47900,1,0,0,0,0,0,0,0,0,1,0
35029,42065,2019,0,65000,2,2.0,31200,1,0,0,0,0,0,0,0,0,1,0
16285,20264,2016,1,201720,2,2.0,17150,0,0,0,0,0,0,1,0,0,0,1
17325,7010,1998,0,500000,0,2.5,5600,0,0,0,0,0,1,0,0,0,0,1
