Серия,Поколение,Год,Рестайлинг,Пробег,Коробка,Объем,Цена,Кузов_внедорожник 5 дв.,Кузов_кабриолет,Кузов_купе,Кузов_лифтбек,Кузов_минивэн,Кузов_седан,Кузов_универсал,Кузов_хэтчбек 3 дв.,Кузов_хэтчбек 5 дв.,Топливо_бензин,Топливо_дизель
21278,19125,2019,1,128000,2,2.0,26900,0,0,0,0,1,0,0,0,0,0,1
25547,25513,2019,0,92000,1,1.5,23500,1,0,0,0,0,0,0,0,0,1,0
16519,37773,2020,0,223490,2,2.0,25900,0,0,0,0,0,0,1,0,0,0,1
37697,18907,2009,0,258373,2,3.0,15500,1,0,0,0,0,0,0,0,0,1,0
16519,20367,2013,0,195000,2,2.0,14900,0,0,0,0,0,1,0,0,0,1,0
17322,38759,2018,0,189000,2,2.0,25490,0,0,0,0,0,0,1,0,0,0,1
16968,12808,2007,1,430000,0,2.0,10950,0,0,0,0,0,1,0,0,0,0,1
35530,41700,2019,0,167000,2,3.0,39500,1,0,0,0,0,0,0,0,0,0,1
37344,19292,2007,0,363500,2,3.0,19250,1,0,0,0,0,0,0,0,0,0,1
37697,67133,2019,0,30750,2,3.0,70000,1,0,0,0,0,0,0,0,0,0,1
23377,18474,2013,1,221179,2,2.0,11999,1,0,0,0,0,0,0,0,0,1,0
20492,20549,2009,0,165000,2,3.0,17500,0,0,0,0,0,1,0,0,0,1,0
17225,20672,2013,0,260000,2,3.0,21500,0,0,0,0,0,1,0,0,0,0,1
16552,13290,2009,1,361000,0,2.0,10500,0,0,0,0,0,0,1,0,0,0,1
17161,13290,2010,1,380000,0,2.0,9000,0,0,0,0,0,1,0,0,0,0,1
17574,12870,2006,0,303000,2,3.0,11600,0,0,0,0,0,1,0,0,0,1,0
17574,39008,2021,1,177000,2,3.0,47900,0,0,0,0,0,1,0,0,0,0,1
16519,23655,2018,1,161000,2,2.0,27700,0,0,0,1,0,0,0,0,0,1,0
16552,6023,1998,0,359685,0,1.8,1900,0,0,0,0,0,1,0,0,0,1,0
25547,25407,2018,0,145255,2,2.0,21700,1,0,0,0,0,0,0,0,0,1,0
16748,24802,2018,1,170140,2,2.0,24500,0,0,0,1,0,0,0,0,0,0,1
16552,37570,2021,0,26000,2,2.0,38100,0,0,0,0,0,1,0,0,0,1,0
38814,50409,2020,0,33500,2,2.0,40000,0,0,1,0,0,0,0,0,0,1,0
