Модель,Год,Пробег,Цена,Описание
"BMW X6 G06 · Рестайлинг",2023,76000,120000,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW X5 G05 · Рестайлинг",2023,70000,79900,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW X5 G05",2020,142004,48500,"автомат, 2,0 л, дизель, внедорожник 5 дв."
"BMW 5 серия G30, G31 · Рестайлинг",2021,94000,65990,"автомат, 3,0 л, бензин, седан"
"BMW 5 серия E60, E61 · Рестайлинг",2007,410000,15500,"автомат, 3,0 л, дизель, седан"
"BMW X5 E53",2000,521950,9250,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW 3 серия E36",1995,320000,3850,"механика, 2,0 л, бензин, седан"
"BMW 5 серия E39",1999,408000,5250,"автомат, 2,9 л, дизель, универсал"
"BMW X5 E70 · Рестайлинг",2011,260000,23000,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW X1 F48 · Рестайлинг",2020,160000,35950,"автомат, 2,0 л, дизель, внедорожник 5 дв."
"BMW 5 серия G30, G31 · Рестайлинг",2020,97000,59900,"автомат, 3,0 л, дизель, универсал"
"BMW 5 серия F07 (GT)",2009,230300,17300,"автомат, 3,0 л, бензин, лифтбек"
"BMW X4 G02",2020,155000,49600,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 3 серия G20, G21",2019,109000,34500,"автомат, 2,0 л, дизель, седан"
"BMW 4 серия  G22, G23, G26",2023,28000,39900,"автомат, 2,0 л, бензин, лифтбек"
"BMW 4 серия  G22, G23, G26",2021,19000,46100,"автомат, 2,0 л, бензин, кабриолет"
"BMW X3 G01",2020,74000,63500,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW X1 F48 · Рестайлинг",2022,114000,25950,"робот, 1,5 л, дизель, внедорожник 5 дв."
"BMW X5 E70",2008,230589,10900,"автомат, 4,8 л, бензин, внедорожник 5 дв."
"BMW 3 серия G20, G21",2019,125000,29999,"автомат, 2,0 л, бензин, седан"
"BMW 7 серия E65",2003,360000,7000,"автомат, 4,4 л, бензин, седан"
"BMW X5 E53",2002,390000,8950,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW 1 серия F20, F21",2012,120000,10000,"автомат, 1,6 л, бензин, хэтчбек 5 дв."
"BMW 3 серия G20, G21",2019,150000,39999,"автомат, 3,0 л, дизель, универсал"
"BMW i3 I01",2017,80090,16500,"автомат, 0,6 л, бензин (гибрид), хэтчбек 5 дв."
"BMW 3 серия E46",2000,445000,6099,"механика, 2,0 л, дизель, универсал"
"BMW 5 серия E60, E61",2006,184000,11000,"автомат, 3,0 л, бензин, седан"
"BMW 5 серия E60, E61 · Рестайлинг",2008,325000,11150,"автомат, 2,0 л, дизель, универсал"
"BMW 5 серия F10, F11",2012,350000,17600,"автомат, 3,0 л, дизель, седан"
"BMW 3 серия G20, G21",2021,118000,40900,"автомат, 2,0 л, дизель (гибрид), универсал"
"BMW 5 серия G30, G31",2019,110391,31900,"автомат, 2,0 л, бензин, седан"
"BMW X5 E70 · Рестайлинг",2013,316000,23500,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 4 серия F32, F33, F36",2015,162000,21000,"автомат, 2,0 л, бензин, лифтбек"
"BMW 3 серия G20, G21",2020,260000,28500,"автомат, 2,0 л, дизель, универсал"
"BMW 3 серия E46",1998,375000,4100,"механика, 1,9 л, бензин, седан"
"BMW 5 серия G30, G31 · Рестайлинг",2023,29300,60000,"автомат, 2,0 л, бензин, седан"
"BMW X4M F98",2020,60000,77400,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW X5 G05",2023,13000,56000,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW 5 серия G30, G31",2018,180000,25500,"автомат, 2,0 л, бензин, седан"
"BMW X3 E83",2005,323000,9000,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW i3 I01 · Рестайлинг",2018,60000,17550,"автомат, электро, хэтчбек 5 дв., запас хода 250 км"
"BMW X3 E83 · Рестайлинг",2006,285000,11700,"механика, 2,0 л, дизель, внедорожник 5 дв."
"BMW i3 I01",2014,131300,12000,"автомат, 0,6 л, бензин (гибрид), хэтчбек 5 дв."
"BMW X5 E70 · Рестайлинг",2010,213754,17499,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW 5 серия G30, G31",2018,220000,33100,"автомат, 3,0 л, дизель, седан"
"BMW X5 E70 · Рестайлинг",2010,240000,17999,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW 5 серия E39 · Рестайлинг",2000,358000,6500,"механика, 2,2 л, бензин, седан"
"BMW 7 серия G12 (Long)",2016,175000,32000,"автомат, 3,0 л, бензин, седан"
"BMW 5 серия G30, G31",2020,125000,36000,"автомат, 2,0 л, дизель, универсал"
"BMW X5 G05",2020,104000,58500,"автомат, 3,0 л, бензин (гибрид), внедорожник 5 дв."
"BMW 3 серия F30, F31",2014,162000,16000,"автомат, 2,0 л, бензин, седан"
"BMW X3 G01 · Рестайлинг",2022,83000,42500,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW 2 серия Gran Tourer F46",2018,135000,14700,"механика, 1,5 л, бензин, минивэн"
"BMW X7 I, 7 мест",2021,45000,72999,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW 7 серия F02 (Long) · Рестайлинг",2014,150000,16999,"автомат, 4,4 л, бензин, седан"
"BMW 5 серия E39",1996,526000,3400,"автомат, 2,5 л, бензин (пропан-бутан), седан"
"BMW M4 G82, G83",2021,70000,79500,"автомат, 3,0 л, бензин, купе"
"BMW M4 G82, G83",2021,70000,79500,"автомат, 3,0 л, бензин, купе"
"BMW M3 G80",2022,20750,105000,"автомат, 3,0 л, бензин, седан"
"BMW 7 серия E65, E66 · Рестайлинг",2007,274000,12999,"автомат, 4,4 л, дизель, седан"
"BMW 5 серия F10, F11 · Рестайлинг",2016,177000,19999,"автомат, 2,0 л, бензин, седан"
"BMW 2 серия F44",2020,207500,21500,"робот, 1,5 л, дизель, седан"
"BMW X3 E83",2004,270000,8500,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW 7 серия F02 (Long)",2009,250000,14900,"автомат, 4,4 л, бензин, седан"
"BMW 6 серия G32· Рестайлинг",2021,95000,57000,"автомат, 2,0 л, дизель, лифтбек"
"BMW 5 серия E60, E61",2003,193500,10900,"автомат, 3,0 л, бензин, седан"
"BMW 7 серия F02 (Long)",2009,176250,15500,"автомат, 3,0 л, бензин, седан"
"BMW X7 I, 7 мест",2019,105000,76000,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW 5 серия G30, G31 · Рестайлинг",2020,78200,56500,"автомат, 3,0 л, бензин, седан"
"BMW X5 E53 · Рестайлинг",2003,511000,12500,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW X4 G02 · Рестайлинг",2021,65000,66900,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW 5 серия G30, G31 · Рестайлинг",2021,128000,33950,"автомат, 2,0 л, дизель, универсал"
"BMW 5 серия E39",1998,390000,6200,"автомат, 2,5 л, дизель, седан"
"BMW 5 серия F07 (GT)",2011,267000,15900,"автомат, 3,0 л, бензин, лифтбек"
"BMW 3 серия E90, E91, E92, E93",2006,330000,10400,"автомат, 2,0 л, бензин, седан"
"BMW 2 серия Active Tourer F45 · Рестайлинг",2021,160000,15900,"автомат, 1,5 л, дизель, минивэн"
"BMW i3 I01",2014,114400,12900,"автомат, 0,6 л, бензин (гибрид), хэтчбек 5 дв."
"BMW X5 E70 · Рестайлинг",2010,445000,19500,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 7 серия G12 (Long)",2016,122000,35850,"автомат, 3,0 л, бензин, седан"
"BMW X1 F48",2019,187000,26350,"автомат, 2,0 л, дизель, внедорожник 5 дв."
"BMW X3 G01",2021,56000,54000,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW X5 G05",2019,69500,53900,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW X5 G05",2019,69500,53900,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW 5 серия E39 · Рестайлинг",2001,410000,5600,"механика, 2,2 л, бензин, седан"
"BMW 2 серия F44",2020,75000,28499,"автомат, 2,0 л, бензин, седан"
"BMW 3 серия E90, E91, E92, E93 · Рестайлинг",2009,312000,10500,"механика, 2,0 л, бензин, седан"
"BMW 5 серия F10, F11 · Рестайлинг",2015,248000,21800,"автомат, 2,0 л, дизель, седан"
"BMW 2 серия Active Tourer F45",2015,89000,16299,"механика, 1,5 л, дизель, минивэн"
"BMW 5 серия G30, G31",2017,159000,26900,"автомат, 2,0 л, дизель, универсал"
