Модель,Год,Пробег,Цена,Описание
"BMW i3 I01",2017,125000,15800,"автомат, 0,6 л, бензин (гибрид), хэтчбек 5 дв."
"BMW 5 серия F07 (GT)",2011,330000,17800,"автомат, 3,0 л, дизель, лифтбек"
"BMW 5 серия E60, E61",2006,410000,11999,"механика, 2,5 л, дизель, универсал"
"BMW 5 серия E34",1993,600000,2000,"механика, 2,5 л, дизель, универсал"
"BMW X5 E53 · Рестайлинг",2004,295000,6650,"автомат, 3,0 л, бензин (пропан-бутан), внедорожник 5 дв."
"BMW M5 E60, E61",2005,268000,43000,"робот, 5,0 л, бензин, седан"
"BMW X5 E53",2003,476570,11900,"автомат, 2,9 л, дизель, внедорожник 5 дв."
"BMW 5 серия G30, G31 · Рестайлинг",2020,98000,56790,"автомат, 3,0 л, дизель, седан"
"BMW X5 E53",2001,440000,9950,"автомат, 4,4 л, бензин (пропан-бутан), внедорожник 5 дв."
"BMW i3 I01",2014,90000,12800,"автомат, 0,6 л, бензин (гибрид), хэтчбек 5 дв."
"BMW 5 серия F07 (GT) · Рестайлинг",2014,194300,25000,"автомат, 3,0 л, дизель, лифтбек"
"BMW X3 G01",2020,59340,39500,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW 3 серия F30,F31 · Рестайлинг",2019,303000,23000,"механика, 2,0 л, дизель, универсал"
"BMW 3 серия G20, G21",2020,61000,29900,"автомат, 2,0 л, бензин, седан"
"BMW 7 серия F01, F04 · Рестайлинг",2013,288000,24950,"автомат, 3,0 л, дизель, седан"
"BMW X5 F15",2018,110000,33700,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW 3 серия E90, E91, E92, E93",2006,575000,12500,"механика, 2,0 л, дизель, универсал"
"BMW 3 серия E36",1995,356425,1700,"механика, 1,8 л, бензин, седан"
"BMW 7 серия F01, F04",2009,267135,15000,"автомат, 3,0 л, бензин, седан"
"BMW 3 серия E36",1998,350000,3450,"механика, 1,8 л, бензин, седан"
"BMW 3 серия E36",1997,405000,3500,"механика, 2,5 л, дизель, седан"
"BMW 3 серия G20, G21",2021,44000,39000,"автомат, 2,0 л, бензин, седан"
"BMW 7 серия G11 · Рестайлинг",2019,67000,64940,"автомат, 3,0 л, дизель, седан"
"BMW X3 F25",2012,197000,16250,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW 5 серия E39 · Рестайлинг",2001,495500,6450,"механика, 2,0 л, дизель, универсал"
"BMW 5 серия E39 · Рестайлинг",2001,495500,6450,"механика, 2,0 л, дизель, универсал"
"BMW X6 G06 · Рестайлинг",2023,13700,128500,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 5 серия F10, F11",2011,275700,17250,"автомат, 2,0 л, дизель, седан"
"BMW 2 серия Active Tourer F45",2016,228000,13300,"механика, 1,5 л, дизель, минивэн"
"BMW X5 F15",2018,113000,35200,"автомат, 2,0 л, бензин (гибрид), внедорожник 5 дв."
"BMW 5 серия F10, F11 · Рестайлинг",2014,222500,26500,"автомат, 3,0 л, дизель, седан"
"BMW X5 E70, 7 мест",2007,262000,18899,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW X6 E71",2010,153000,15499,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW 5 серия F07 (GT)",2011,312000,18999,"автомат, 3,0 л, дизель, лифтбек"
"BMW 7 серия E65",2004,333000,10999,"автомат, 3,0 л, дизель, седан"
"BMW 5 серия E60, E61",2004,426000,9499,"автомат, 3,0 л, бензин, седан"
"BMW X6 E71",2009,179000,20499,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 5 серия E39 · Рестайлинг",2000,364000,7799,"автомат, 2,2 л, бензин (пропан-бутан), седан"
"BMW 3 серия E46",1999,391000,5799,"механика, 2,0 л, дизель, седан"
"BMW 3 серия E46",2001,348000,4699,"автомат, 1,8 л, бензин, хэтчбек 3 дв."
"BMW 3 серия E46",1998,375000,4499,"механика, 1,9 л, бензин, седан"
"BMW X7 I",2020,108960,72900,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW X6M F86",2019,57046,52900,"автомат, 4,4 л, бензин, внедорожник 5 дв."
"BMW 3 серия F30,F31 · Рестайлинг",2017,87210,18900,"автомат, 2,0 л, бензин, седан"
"BMW X5 F15",2017,244931,36500,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW X1 F48 · Рестайлинг",2020,132521,22999,"робот, 1,5 л, бензин, внедорожник 5 дв."
"BMW 3 серия F30, F31",2012,194000,18499,"автомат, 2,0 л, бензин, седан"
"BMW X5 F15",2018,79259,44900,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW X5 F15",2016,297797,32999,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 5 серия G30, G31",2018,136000,31900,"автомат, 2,0 л, бензин (гибрид), седан"
"BMW X5 G05 · Рестайлинг",2023,30760,90499,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW X1 E84 · Рестайлинг",2012,238066,13400,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW 3 серия F30,F31 · Рестайлинг",2016,174483,16999,"автомат, 2,0 л, дизель, седан"
"BMW 6 серия G32",2018,177400,42200,"автомат, 3,0 л, дизель, лифтбек"
"BMW X1 F48",2017,200600,25900,"автомат, 1,5 л, бензин, внедорожник 5 дв."
"BMW 7 серия E65",2004,373000,11500,"автомат, 3,0 л, дизель, седан"
"BMW X7 I · Рестайлинг, 7 мест",2024,1014,124900,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW X3 G01",2018,230953,36300,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 2 серия Active Tourer F45",2015,181323,12600,"механика, 1,5 л, дизель, минивэн"
"BMW X3 F25",2011,231518,18999,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 5 серия E39 · Рестайлинг",2000,520000,7600,"механика, 2,5 л, дизель, универсал"
"BMW X6 E71",2009,195036,22100,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 3 серия F30,F31 · Рестайлинг",2016,286621,19400,"автомат, 2,0 л, дизель, универсал"
"BMW X6 E71",2010,230000,25500,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW X7 I, 7 мест",2019,181015,56700,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW 5 серия F10, F11",2010,300000,19800,"автомат, 2,0 л, дизель, седан"
"BMW 7 серия F02 (Long) · Рестайлинг",2015,261810,24499,"автомат, 4,4 л, бензин, седан"
"BMW X3 G01",2018,122726,33999,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW X4 G02",2020,85000,46700,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW 2 серия Gran Tourer F46 · Рестайлинг, 7 мест",2020,181000,19999,"робот, 1,5 л, дизель, минивэн"
"BMW X5 F15",2017,161948,35300,"автомат, 2,0 л, бензин (гибрид), внедорожник 5 дв."
"BMW 3 серия F34 (GT)",2016,306095,22500,"автомат, 2,0 л, дизель, лифтбек"
"BMW X5 E70",2007,330030,18600,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW X3 G01",2019,150515,49900,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 3 серия G20, G21 · Рестайлинг",2022,21778,48500,"автомат, 2,0 л, бензин, седан"
"BMW 5 серия E60, E61 · Рестайлинг",2007,320400,14500,"автомат, 3,0 л, дизель, седан"
"BMW X2 F39",2018,92172,21300,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW 1 серия E81, E82, E88, E87 · Рестайлинг",2008,277744,9300,"автомат, 1,6 л, бензин, хэтчбек 3 дв."
"BMW X5 E53 · Рестайлинг",2005,341809,9300,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW X5 G05",2019,126000,72500,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW X4 G02",2018,109000,38900,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW 3 серия G20, G21",2019,106000,34900,"автомат, 2,0 л, бензин, универсал"
"BMW 3 серия F30, F31",2015,235000,16500,"автомат, 2,0 л, дизель, универсал"
"BMW 7 серия F01, F04",2008,307000,15999,"автомат, 3,0 л, бензин, седан"
"BMW 4 серия  G22, G23, G26",2021,60000,61500,"автомат, 2,0 л, бензин, кабриолет"
"BMW 5 серия F07 (GT)",2009,130700,13200,"автомат, 4,4 л, бензин, лифтбек"
"BMW 3 серия F30,F31 · Рестайлинг",2017,146000,23600,"автомат, 2,0 л, дизель, седан"
"BMW 2 серия F44",2020,129869,21700,"робот, 1,5 л, бензин, седан"
"BMW 2 серия F44",2020,39000,28700,"автомат, 2,0 л, бензин, седан"
"BMW X5 F15",2014,197000,38000,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 7 серия E38 · Рестайлинг",2001,373377,6000,"автомат, 2,9 л, дизель, седан"
"BMW X6 G06 · Рестайлинг",2023,36000,108700,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW 3 серия G20, G21",2020,67555,35350,"автомат, 2,0 л, бензин, седан"
"BMW 3 серия E90, E91, E92, E93 · Рестайлинг",2009,299999,17000,"автомат, 3,0 л, бензин, седан"
"BMW 5 серия F10, F11 · Рестайлинг",2017,198600,20500,"механика, 2,0 л, дизель, универсал"
"BMW X1 F48 · Рестайлинг",2020,189000,21700,"робот, 1,5 л, дизель, внедорожник 5 дв."
"BMW 4 серия  G22, G23, G26",2022,13200,47500,"автомат, 2,0 л, бензин, купе"
"BMW 3 серия G20, G21",2019,210000,23900,"автомат, 2,0 л, дизель, универсал"
"BMW 3 серия G20, G21",2020,200000,26100,"автомат, 2,0 л, дизель (гибрид), универсал"
"BMW 5 серия F10, F11",2011,255000,17200,"механика, 2,0 л, дизель, седан"
"BMW i3 I01",2015,97800,12800,"автомат, 0,6 л, бензин (гибрид), хэтчбек 5 дв."
"BMW X3 F25 · Рестайлинг",2015,270000,24500,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 3 серия F30,F31 · Рестайлинг",2018,50400,22500,"автомат, 2,0 л, бензин, седан"
"BMW 7 серия G70",2022,17450,109999,"автомат, 3,0 л, бензин, седан"
"BMW 4 серия  G22, G23, G26",2022,64000,52500,"автомат, 2,0 л, дизель, лифтбек"
"BMW X2 F39",2020,172000,21250,"автомат, 1,5 л, дизель, внедорожник 5 дв."
"BMW 3 серия G20, G21",2020,106000,29000,"автомат, 2,0 л, дизель, универсал"
"BMW X5 G05",2021,16500,99300,"автомат, 2,0 л, дизель, внедорожник 5 дв."
"BMW X3 G01",2021,55900,40900,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW 3 серия F34 (GT) · Рестайлинг",2017,172000,23900,"автомат, 2,0 л, бензин, лифтбек"
"BMW 3 серия G20, G21",2020,59000,51500,"автомат, 3,0 л, бензин, седан"
"BMW 2 серия Gran Tourer F46 · Рестайлинг",2019,129600,22400,"автомат, 2,0 л, дизель, минивэн"
"BMW 3 серия E90, E91, E92, E93 · Рестайлинг",2009,240000,11800,"механика, 2,0 л, бензин, универсал"
"BMW X5 E70 · Рестайлинг",2010,274500,18750,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW X3 G01 · Рестайлинг",2022,16400,46800,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW 4 серия F32, F33, F36",2014,52000,23700,"автомат, 2,0 л, бензин, купе"
"BMW i3 I01 · Рестайлинг",2018,57000,18200,"автомат, 0,7 л, бензин (гибрид), хэтчбек 5 дв."
"BMW 7 серия E65",2002,346543,6000,"автомат, 4,4 л, бензин, седан"
"BMW 3 серия E90, E91, E92, E93",2008,420000,8950,"механика, 2,0 л, дизель, универсал"
"BMW 3 серия E46 · Рестайлинг",2001,220000,5650,"механика, 2,0 л, дизель, универсал"
"BMW 7 серия E38",1998,340000,6600,"автомат, 3,5 л, бензин, седан"
"BMW X3 G01 · Рестайлинг",2022,17800,44500,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW 2 серия F22",2015,140000,17500,"автомат, 2,0 л, бензин, купе"
"BMW 5 серия E34",1996,500000,1500,"механика, 2,5 л, дизель, универсал"
"BMW 3 серия E46 · Рестайлинг",2001,280000,7500,"механика, 2,0 л, дизель, седан"
"BMW 3 серия E46 · Рестайлинг",2001,280000,7500,"механика, 2,0 л, дизель, седан"
"BMW 7 серия E38 · Рестайлинг",2000,320000,5600,"автомат, 2,9 л, дизель, седан"
"BMW 3 серия E90, E91, E92, E93",2007,320000,9999,"механика, 2,0 л, бензин, седан"
"BMW X5 G05 · Рестайлинг, 7 мест",2024,10400,149000,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 7 серия E65, E66 · Рестайлинг",2005,548000,13850,"автомат, 4,4 л, дизель, седан"
"BMW 3 серия E36",1992,400000,2800,"механика, 2,0 л, бензин, седан"
"BMW 7 серия E65, E66 · Рестайлинг",2005,187000,11999,"автомат, 4,8 л, бензин, седан"
"BMW 2 серия F22 (Рестайлинг)",2021,67000,26300,"автомат, 2,0 л, бензин, купе"
"BMW 4 серия F32, F33, F36 (Рестайлинг)",2019,63000,34500,"автомат, 3,0 л, бензин, лифтбек"
"BMW 7 серия E38 · Рестайлинг",2000,300000,7500,"автомат, 2,9 л, дизель, седан"
"BMW 6 серия G32",2018,156000,41900,"автомат, 3,0 л, дизель, лифтбек"
"BMW 2 серия F44",2020,167000,22500,"робот, 1,5 л, дизель, седан"
"BMW 5 серия G30, G31 · Рестайлинг",2020,50000,47900,"автомат, 2,0 л, бензин (гибрид), седан"
"BMW 3 серия E46 · Рестайлинг",2004,253000,8500,"автомат, 2,2 л, бензин, купе"
"BMW X6 G06",2021,56800,91000,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 7 серия E38",1998,527000,3650,"механика, 4,4 л, бензин, седан"
"BMW 1 серия F20, F21 · 2-й рестайлинг",2018,210000,15000,"механика, 1,5 л, бензин, хэтчбек 5 дв."
"BMW 3 серия G20, G21",2021,170000,36500,"автомат, 2,0 л, дизель, седан"
"BMW 5 серия E60, E61",2004,410000,8500,"автомат, 2,5 л, дизель, седан"
"BMW 5 серия E28",1985,200000,2200,"механика, 2,5 л, бензин, седан"
"BMW X1 F48",2017,152800,25400,"механика, 2,0 л, дизель, внедорожник 5 дв."
"BMW 1 серия F20, F21 · Рестайлинг",2015,114000,13900,"механика, 1,5 л, бензин, хэтчбек 5 дв."
"BMW 5 серия E39",1998,333400,4700,"механика, 2,0 л, бензин, седан"
"BMW 3 серия E90, E91, E92, E93",2006,256000,11000,"автомат, 2,5 л, бензин, купе"
"BMW 7 серия F01, F04",2009,260000,19000,"автомат, 3,0 л, дизель, седан"
"BMW 7 серия F01, F04",2009,260000,19000,"автомат, 3,0 л, дизель, седан"
"BMW 4 серия F32, F33, F36 (Рестайлинг)",2017,120001,31500,"автомат, 2,0 л, бензин, купе"
"BMW 7 серия E38",1996,320000,5600,"автомат, 4,4 л, бензин, седан"
"BMW X5 E70",2007,293000,16990,"автомат, 4,8 л, бензин, внедорожник 5 дв."
"BMW 5 серия F10, F11",2010,321000,20990,"автомат, 2,0 л, дизель, седан"
"BMW X1 F48",2019,63150,24490,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW X5 E70 · Рестайлинг",2010,278934,20990,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 5 серия E34",1989,400000,3500,"механика, 2,0 л, бензин, седан"
"BMW 3 серия E36",2000,400000,4000,"механика, 1,7 л, дизель, хэтчбек 3 дв."
"BMW 4 серия F32, F33, F36",2015,113369,28400,"автомат, 2,0 л, бензин, кабриолет"
"BMW 3 серия F30, F31",2015,249000,15800,"автомат, 2,0 л, дизель, универсал"
"BMW X3 G01",2021,70830,41700,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW 3 серия G20, G21",2020,53000,37800,"автомат, 2,0 л, бензин, седан"
"BMW 5 серия G30, G31",2019,103400,48500,"автомат, 3,0 л, дизель, седан"
"BMW X5 G05",2021,99999,83000,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 5 серия E39 · Рестайлинг",2003,360000,5500,"автомат, 3,0 л, бензин, седан"
"BMW X3 G01",2021,93000,44500,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW i3 G28",2024,50,32950,"автомат, электро, седан, запас хода 526 км"
"BMW i3 I01",2014,130000,13400,"автомат, 0,6 л, бензин (гибрид), хэтчбек 5 дв."
"BMW 7 серия F01, F04",2008,282800,15200,"автомат, 3,0 л, бензин, седан"
"BMW 7 серия E32",1987,350000,4700,"механика, 3,0 л, бензин, седан"
"BMW X5 E53 · Рестайлинг",2005,388400,12300,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 5 серия G30, G31 · Рестайлинг",2020,155000,35500,"автомат, 2,0 л, дизель, седан"
"BMW 3 серия G20, G21",2020,102000,35000,"автомат, 2,0 л, бензин, седан"
"BMW 3 серия G20, G21 · Рестайлинг",2024,14500,68000,"автомат, 2,0 л, бензин, седан"
"BMW 3 серия G20, G21 · Рестайлинг",2024,14500,68000,"автомат, 2,0 л, бензин, седан"
"BMW X6M F86",2018,93500,45000,"автомат, 4,4 л, бензин, внедорожник 5 дв."
"BMW 2 серия Gran Tourer F46 · Рестайлинг",2021,166000,17850,"робот, 1,5 л, дизель, минивэн"
"BMW 5 серия E39",1997,420000,4300,"механика, 2,5 л, дизель, универсал"
"BMW 7 серия E65, E66 · Рестайлинг",2006,292704,8500,"автомат, 4,8 л, бензин, седан"
"BMW 5 серия E39",1998,300000,6350,"механика, 2,5 л, бензин, седан"
"BMW X3 G01",2019,190000,33500,"автомат, 2,0 л, дизель, внедорожник 5 дв."
"BMW 2 серия G42 · Рестайлинг",2023,4500,51500,"автомат, 2,0 л, бензин, купе"
"BMW X3 G01",2021,48000,39000,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW 7 серия E66 (Long)",2002,340000,6500,"автомат, 4,4 л, бензин, седан"
"BMW 3 серия F34 (GT)",2015,195000,22000,"автомат, 2,0 л, бензин, лифтбек"
"BMW 5 серия G30, G31",2017,108000,27500,"автомат, 2,0 л, бензин, седан"
"BMW X3 E83 · Рестайлинг",2008,263000,11500,"механика, 2,0 л, дизель, внедорожник 5 дв."
"BMW 5 серия F07 (GT)",2010,353000,19900,"автомат, 3,0 л, дизель, лифтбек"
"BMW 3 серия F30, F31",2012,208800,14500,"автомат, 2,0 л, бензин, седан"
"BMW X3 G01",2019,87150,29800,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW 7 серия F02 (Long)",2008,300000,15100,"автомат, 3,0 л, бензин, седан"
"BMW 5 серия E60, E61 · Рестайлинг",2007,311000,10500,"механика, 3,0 л, бензин, седан"
"BMW 7 серия E23",1984,220000,6500,"механика, 2,8 л, бензин, седан"
"BMW 5 серия E34",1995,520170,2000,"механика, 2,5 л, дизель, седан"
"BMW 2 серия Gran Tourer F46",2016,305000,11700,"автомат, 1,5 л, дизель, минивэн"
"BMW X4 G02",2019,129000,43777,"автомат, 2,0 л, дизель, внедорожник 5 дв."
"BMW X6 G06",2022,21000,88000,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW 5 серия G30, G31 · Рестайлинг",2020,47000,42500,"автомат, 2,0 л, бензин, седан"
"BMW 5 серия E34",1992,999999,1100,"механика, 2,0 л, бензин, седан"
"BMW 5 серия E34",1992,999999,1100,"механика, 2,0 л, бензин, седан"
"BMW X3 E83",2005,380123,6900,"автомат, 2,5 л, бензин, внедорожник 5 дв."
"BMW 2 серия F44",2021,49900,27500,"автомат, 2,0 л, бензин, седан"
"BMW 5 серия G30, G31",2019,149700,33000,"автомат, 2,0 л, бензин, седан"
"BMW 5 серия F07 (GT)",2011,269000,17500,"автомат, 3,0 л, дизель, лифтбек"
"BMW X7 I, 7 мест",2020,58000,83900,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 3 серия E46",1999,361500,5000,"механика, 2,0 л, дизель, седан"
"BMW 3 серия E46",2001,400520,6300,"механика, 2,0 л, дизель, универсал"
"BMW X5 E53 · Рестайлинг",2003,383050,12000,"автомат, 4,4 л, бензин, внедорожник 5 дв."
"BMW X1 F48",2019,140000,23700,"робот, 1,5 л, дизель, внедорожник 5 дв."
"BMW X3 G01 · Рестайлинг",2022,40000,44900,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW X5 G05",2020,155000,57000,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW X3 G01",2019,68000,49900,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW 2 серия Gran Tourer F46",2016,268100,12100,"механика, 1,5 л, дизель, минивэн"
"BMW X5 G05",2021,32000,67000,"автомат, 3,0 л, бензин (гибрид), внедорожник 5 дв."
"BMW 5 серия E60, E61 · Рестайлинг",2008,248000,10999,"автомат, 3,0 л, бензин, седан"
"BMW 3 серия E46",1999,290000,4000,"механика, 1,9 л, бензин, седан"
"BMW 4 серия F32, F33, F36",2015,275000,23955,"автомат, 2,0 л, дизель, лифтбек"
"BMW 5 серия F10, F11",2013,193000,19900,"автомат, 2,0 л, бензин, седан"
"BMW 7 серия E38 · Рестайлинг",1998,344000,3500,"автомат, 3,5 л, бензин, седан"
"BMW 2 серия F44",2020,79000,29500,"автомат, 2,0 л, бензин, седан"
"BMW 7 серия F01, F04",2009,283000,18500,"автомат, 3,0 л, дизель, седан"
"BMW 3 серия E21",1980,226500,3450,"механика, 1,8 л, бензин, седан"
"BMW M4 F82, F83 · Рестайлинг",2019,28160,85000,"робот, 3,0 л, бензин, кабриолет"
"BMW 2 серия F44",2021,107350,27699,"робот, 1,5 л, бензин, седан"
"BMW X6 E71",2008,245000,18800,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 5 серия F10, F11",2011,320000,14000,"автомат, 2,0 л, бензин, седан"
"BMW 4 серия  G22, G23, G26",2022,28000,56500,"автомат, 2,0 л, бензин, купе"
"BMW 3 серия F34 (GT)",2015,275000,17500,"автомат, 2,0 л, дизель, лифтбек"
"BMW 7 серия G12 (Long)",2016,163000,37900,"автомат, 3,0 л, бензин, седан"
"BMW 3 серия E46",1999,329000,4200,"автомат, 1,9 л, бензин, седан"
"BMW 3 серия F30,F31 · Рестайлинг",2019,200000,22700,"автомат, 2,0 л, дизель, универсал"
"BMW 2 серия F44",2021,175000,21900,"робот, 1,5 л, дизель, седан"
"BMW i7",2022,44000,127500,"автомат, электро, седан, запас хода 625 км"
"BMW X6 G06",2020,180000,78000,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW X1 F48 · Рестайлинг",2021,199000,20500,"робот, 1,5 л, дизель, внедорожник 5 дв."
"BMW 6 серия G32",2018,209000,41500,"автомат, 3,0 л, дизель, лифтбек"
"BMW 3 серия F34 (GT) · Рестайлинг",2019,181000,31850,"автомат, 2,0 л, дизель, лифтбек"
"BMW 5 серия G30, G31",2018,199000,31200,"автомат, 2,0 л, дизель, седан"
"BMW X3 G01",2020,60000,38700,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW X5 E70",2007,241000,13450,"автомат, 4,8 л, бензин, внедорожник 5 дв."
"BMW 2 серия Gran Tourer F46",2015,211000,17000,"механика, 2,0 л, дизель, минивэн"
"BMW 4 серия F32, F33, F36 (Рестайлинг)",2020,77000,27200,"автомат, 1,5 л, бензин, лифтбек"
"BMW 5 серия E60, E61",2003,480000,11300,"механика, 3,0 л, дизель, седан"
"BMW 5 серия E39",1997,457000,3343,"механика, 2,0 л, бензин (пропан-бутан), универсал"
"BMW X6 E71",2009,345000,21400,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW X3 G01",2020,39000,43900,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW X4 G02",2019,80500,59900,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 5 серия G30, G31 · Рестайлинг",2020,112000,41500,"автомат, 2,0 л, бензин (гибрид), седан"
"BMW 1 серия F40",2021,130000,22250,"робот, 1,5 л, дизель, хэтчбек 5 дв."
"BMW X5 G05",2021,67000,75900,"автомат, 4,4 л, бензин, внедорожник 5 дв."
"BMW 5 серия G30, G31",2019,197500,28300,"автомат, 2,0 л, бензин (гибрид), седан"
"BMW 3 серия E46 · Рестайлинг",2004,439203,8500,"автомат, 3,0 л, дизель, седан"
"BMW X1 F48",2018,83000,22900,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW 3 серия G20, G21",2019,89000,37500,"автомат, 2,0 л, бензин, седан"
"BMW Z4 G29",2019,47900,47950,"автомат, 2,0 л, бензин, родстер"
"BMW X5 G05",2019,43000,65000,"автомат, 4,4 л, бензин, внедорожник 5 дв."
"BMW X5 E53",1999,345650,6200,"автомат, 4,4 л, бензин, внедорожник 5 дв."
"BMW X4 G02",2019,152000,39900,"автомат, 2,0 л, дизель, внедорожник 5 дв."
"BMW 5 серия E60, E61",2004,322000,10900,"механика, 3,0 л, дизель, седан"
"BMW 3 серия G20, G21",2020,220000,26000,"автомат, 2,0 л, дизель, универсал"
"BMW 5 серия E60, E61",2005,435000,13600,"автомат, 3,0 л, дизель, универсал"
"BMW 3 серия F34 (GT) · Рестайлинг",2016,270000,18100,"автомат, 2,0 л, дизель, лифтбек"
"BMW 5 серия F10, F11",2012,161000,16000,"автомат, 2,0 л, бензин, седан"
"BMW 7 серия E65",2001,510000,5300,"автомат, 4,4 л, бензин, седан"
"BMW 7 серия F02 (Long) · Рестайлинг",2013,183000,22999,"автомат, 4,4 л, бензин, седан"
"BMW 7 серия E65, E66 · Рестайлинг",2007,450000,13500,"автомат, 3,0 л, дизель, седан"
"BMW 3 серия E46",1998,373000,3800,"механика, 1,9 л, бензин, седан"
"BMW 5 серия E39 · Рестайлинг",2002,350000,6000,"механика, 2,2 л, бензин, седан"
"BMW 4 серия  G22, G23, G26",2021,74000,44000,"автомат, 2,0 л, бензин, купе"
"BMW 5 серия E39",1998,396000,4100,"механика, 2,5 л, дизель, седан"
"BMW X7 I · Рестайлинг",2022,138068,93500,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW 4 серия F32, F33, F36 (Рестайлинг)",2017,97000,25700,"автомат, 2,0 л, бензин, лифтбек"
"BMW 3 серия G20, G21",2021,42000,55000,"автомат, 3,0 л, бензин, седан"
"BMW X5 F15",2018,159000,41500,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW X5 F15",2018,159000,41500,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 5 серия E39 · Рестайлинг",2001,600000,6800,"механика, 2,5 л, дизель, седан"
"BMW X1 U11",2024,10000,48500,"робот, 2,0 л, бензин, внедорожник 5 дв."
"BMW X3 E83 · Рестайлинг",2006,305000,9900,"автомат, 2,5 л, бензин, внедорожник 5 дв."
"BMW 5 серия F10, F11",2011,344000,17000,"механика, 2,0 л, дизель, универсал"
"BMW X4 G02",2020,153000,51500,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 2 серия F44",2021,88000,26500,"автомат, 2,0 л, бензин, седан"
"BMW 3 серия E36",1993,290000,1250,"механика, 1,6 л, бензин, седан"
"BMW X5 G05",2022,163000,72000,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 5 серия F10, F11 · Рестайлинг",2015,299000,27500,"автомат, 3,0 л, дизель, универсал"
"BMW 4 серия  G22, G23, G26",2024,8000,64000,"автомат, 2,0 л, бензин, купе"
"BMW X5 E53",2003,362000,12300,"автомат, 2,9 л, дизель, внедорожник 5 дв."
"BMW X5 G05",2019,148300,66500,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 3 серия E36",1995,396091,1350,"механика, 1,6 л, бензин, седан"
